,Label_6585,Label_37,Name_6585,Name_37
0,0,0,void,void
1,1,0,abat,void
2,5,0,abstract_painting,void
3,6,0,ac_panel,void
4,7,0,ac_power_outlet,void
5,8,0,ac_power_plug,void
6,9,0,ac_vent,void
7,10,0,ac_ventilarot,void
8,11,0,accent,void
9,12,0,access,void
10,13,0,access_panel,void
11,14,0,accessories,void
12,15,0,accordion_file,void
13,16,0,ackage,void
14,17,0,action_figure,void
15,18,0,ad_copy,void
16,19,0,adapter,void
17,20,0,adapter_cable,void
18,21,0,adaptor,void
19,23,0,adjust_fan,void
20,27,0,advertise_poster,void
21,28,0,advertisement,void
22,29,0,advertisement_banner,void
23,30,0,advertosing,void
24,31,0,adwertise_board,void
25,32,0,aesel,void
26,33,0,ag,void
27,34,0,agarbathies_stand,void
28,35,0,air conditioner,void
29,36,0,air duct,void
30,37,0,air vent,void
31,38,0,air_bent,void
32,39,0,air_cleaner,void
33,40,0,air_compressor,void
34,41,0,air_condioner,void
35,42,0,air_conditionaer,void
36,43,0,air_conditioner,void
37,44,0,air_conditioner/heater,void
38,45,0,air_conditioner_sistem,void
39,47,0,air_conditioning_duct,void
40,48,0,air_conditioning_vent,void
41,49,0,air_contitioner,void
42,50,0,air_cooler_outlet,void
43,51,0,air_drain,void
44,52,0,air_duct,void
45,53,0,air_evoprater,void
46,54,0,air_exhaust,void
47,56,0,air_fresh,void
48,57,0,air_freshener,void
49,58,0,air_freshener_spray,void
50,59,0,air_freshiner,void
51,60,0,air_heater,void
52,61,0,air_holes,void
53,62,0,air_perfuier,void
54,63,0,air_pump,void
55,64,0,air_purifier,void
56,65,0,air_shofa,void
57,66,0,air_vent,void
58,68,0,airconditioner,void
59,69,0,aircondotioner,void
60,70,0,airflow_monitor,void
61,71,0,alaram,void
62,72,0,alarm,void
63,73,0,alarm clock,void
64,74,0,alarm_button,void
65,75,0,alarm_system,void
66,76,0,album,void
67,77,0,alcohol,void
68,78,0,alcohol_bottle,void
69,79,0,alcove,void
70,80,0,alcove_frame,void
71,81,0,almara,void
72,82,0,almarrah,void
73,83,0,almira,void
74,84,0,alram,void
75,85,0,alum_roasting_pan,void
76,86,0,aluminium,void
77,87,0,aluminium foil,void
78,88,0,aluminium_frame,void
79,89,0,aluminium_pannel,void
80,90,0,aluminum_bottle,void
81,91,0,aluminum_foil,void
82,92,0,am/fm_radio,void
83,93,0,american flag,void
84,94,0,american_flag,void
85,95,0,ammplifir,void
86,96,0,amplifier,void
87,97,0,anchor,void
88,98,0,anger,void
